name,location,category,description,url,city,country
Darra Adam Khel,"Dara Adamkhel, Pakistan",Weird & Unusual,A city entirely devoted to illegal gun production.,https://www.atlasobscura.com/places/darra-adam-khel,Dara Adamkhel,Pakistan
Al Yanfa,"Tamniah, Saudi Arabia",Hidden Gems,A network of tunnels runs underneath the buildings of this ancient village.,https://www.atlasobscura.com/places/al-yanfa,Tamniah,Saudi Arabia
Dinamitificio Nobel (Dynamite Nobel Living Museum),"Avigliana, Italy",Hidden Gems,Dynamite factory turned museum explores the history of explosives.,https://www.atlasobscura.com/places/ecomuseo-del-dinamitificio-nobel,Avigliana,Italy
Broken Angel,"Brooklyn, New York",Hidden Gems,An illegally built ramshackle mansion tucked in the middle of Brooklyn is now being turned into condominiums.,https://www.atlasobscura.com/places/broken-angel,Brooklyn,New York
A.A. Cassimatis General Store Museum,"Muttaburra, Australia",Mysterious,"Stocks of hardware, automotive supplies, crockery, and farm machinery are on display as though time had simply stopped at some point in the 1930s.",https://www.atlasobscura.com/places/aa-cassimatis-general-store-museum,Muttaburra,Australia
IceCube Research Station,Antarctica,Weird & Unusual,The world's largest neutrino telescope searches for secrets of the universe at the South Pole.,https://www.atlasobscura.com/places/icecube-research-station,Unknown,Antarctica
Huerta Grande Estate Pilasters,"Madrid, Spain",Weird & Unusual,"Two 18th-century pilasters, which once formed an arch, were destroyed during the Spanish Civil War.",https://www.atlasobscura.com/places/pilasters-of-the-main-gate-of-the-huerta-grande-estate,Madrid,Spain
Area di Servizio Villoresi Est,"Lainate, Italy",Mysterious,This Volcano-like rest area was designed by architect Giulio Ceppi built according to energy efficiency and ecological footprint standards.,https://www.atlasobscura.com/places/area-di-servizio-villoresi-est,Lainate,Italy
Bullfights of Grmec,"Oštra Luka, Bosnia and Herzegovina",Hidden Gems,Two bulls enter. One leaves a champion—but neither loses its life.,https://www.atlasobscura.com/places/bullfights-of-grmec,Oštra Luka,Bosnia and Herzegovina
Andrée Strindberg Frænkel Memorial,Norway,Hidden Gems,Here ended one of the most ambitious North Pole expeditions in Arctic history.,https://www.atlasobscura.com/places/andree-strindberg-fraenkel-memorial,Unknown,Norway
Jim Murray Memorial,"Newmains, Scotland",Hidden Gems,"This bronze statue pays tribute to a Scottish professional boxer, who tragically died following a championship fight.",https://www.atlasobscura.com/places/jim-murray-memorial,Newmains,Scotland
Fuente de los Tres Sombreros,"Bécal, Mexico",Hidden Gems,This hat-shaped fountain pays tribute to a centuries-old textile tradition in the Yucatán Peninsula.,https://www.atlasobscura.com/places/jipi-japa-sombreros-becal,Bécal,Mexico
University Stone Quarry Lake,"Pune, India",Hidden Gems,"Now a small lake, stone quarried from this spot was used to build the local university building.",https://www.atlasobscura.com/places/university-stone-quarry-lake,Pune,India
Kigungu Missionary Landing Site,"Entebbe, Uganda",Hidden Gems,A monument marks the spot where the first Catholic missionaries arrived in Uganda.,https://www.atlasobscura.com/places/kigungu-missionary-landing-site,Entebbe,Uganda
Bharat Itihas Sanshodhak Mandal,"Pune, India",Mysterious,A heritage stone building that preserves over a million historical documents and rare artifacts.,https://www.atlasobscura.com/places/bharat-itihas-sanshodhak-mandal,Pune,India
Klerksdorp Spheres,"Ottosdal, South Africa",Weird & Unusual,Tiny pyrophyllite spheres from 3 billion years ago.,https://www.atlasobscura.com/places/klerksdorp-spheres,Ottosdal,South Africa
Kissy Boundary Gun,"Freetown, Sierra Leone",Mysterious,A curiously placed cannon along a roundabout in Freetown marks the boundary of the old city.,https://www.atlasobscura.com/places/kissy-boundary-gun,Freetown,Sierra Leone
John Duigan Monument,"Mia Mia, Australia",Hidden Gems,Dedicated to the first flight of an aircraft to be designed and built in Australia.,https://www.atlasobscura.com/places/john-duigan-monument,Mia Mia,Australia
Kilinochchi Water Tower,"Kilinochchi, Sri Lanka",Weird & Unusual,A massive fallen water tank bombed by the Tamil Tigers in the final stages of the long Sri Lankan Civil War.,https://www.atlasobscura.com/places/kilinochchi-water-tower,Kilinochchi,Sri Lanka
Kindergarten Museum Martonvásár,"Martonvásár, Hungary",Mysterious,This museum showcases the lives of Hungarian school children and their vintage toys.,https://www.atlasobscura.com/places/kindergarten-museum-martonvasar,Martonvásár,Hungary
